iter	MultiClass
0	1.090705397
1	1.08355861
2	1.076707736
3	1.06977147
4	1.063346965
5	1.057857415
6	1.052729084
7	1.047774363
8	1.043064856
9	1.038345482
10	1.033503402
11	1.029124316
12	1.025009954
13	1.021153396
14	1.017733192
15	1.014648661
16	1.01157599
17	1.00855993
18	1.005962216
19	1.003019336
20	1.000263004
21	0.9977189224
22	0.9953368566
23	0.9929532342
24	0.9908999257
25	0.9888756033
26	0.9869459395
27	0.9850952088
28	0.9834852633
29	0.9816174663
30	0.9799028936
31	0.9781345057
32	0.9767046199
33	0.9753644769
34	0.9739331264
35	0.9726189248
36	0.9710990821
37	0.9699945709
38	0.9686414436
39	0.9675999091
40	0.9666576668
41	0.9653922087
42	0.9644220839
43	0.9632181562
44	0.962162885
45	0.961079689
46	0.9602071065
47	0.9591644213
48	0.958466296
49	0.9576144615
50	0.9568051893
51	0.9560125863
52	0.9553418384
53	0.9546971828
54	0.9540036201
55	0.9531894412
56	0.9524827902
57	0.9517982412
58	0.951084661
59	0.9503974731
60	0.9497236324
61	0.948987659
62	0.9485174262
63	0.9478868835
64	0.9474101795
65	0.9469500193
66	0.9464213977
67	0.9455877007
68	0.9448535032
69	0.9442387345
70	0.9436384977
71	0.9433837155
72	0.9428335776
73	0.9423443671
74	0.9418348627
75	0.9414428796
76	0.9408268092
77	0.94030809
78	0.9397149989
79	0.9392717412
80	0.9388961673
81	0.9385959919
82	0.9381228446
83	0.9376517884
84	0.9371996257
85	0.9367609525
86	0.9364501228
87	0.9358976795
88	0.9355382361
89	0.9352704504
90	0.9347744218
91	0.9344202065
92	0.9341391173
93	0.9337203727
94	0.9332739104
95	0.9329503563
96	0.9326127049
97	0.9322354821
98	0.931767217
99	0.9312824028
100	0.9308759014
101	0.9304831156
102	0.9301389165
103	0.9295626558
104	0.9291193418
105	0.9287917773
106	0.9284031488
107	0.9281469665
108	0.927766707
109	0.9273533021
110	0.9269780051
111	0.9266007053
112	0.9260692717
113	0.9257144748
114	0.9253794703
115	0.9249808581
116	0.9248306166
117	0.9243981224
118	0.9241745148
119	0.9239581178
120	0.9236298487
121	0.9232969847
122	0.9229414697
123	0.9228052584
124	0.9225365775
125	0.9223026458
126	0.9220337501
127	0.9217813503
128	0.9215461894
129	0.9212362863
130	0.9209526823
131	0.9207287666
132	0.9206278174
133	0.9204720904
134	0.9202016453
135	0.9197607473
136	0.9194022684
137	0.9190543823
138	0.9186667998
139	0.9184051863
140	0.91802767
141	0.9177422964
142	0.9173779114
143	0.9169265359
144	0.9165312435
145	0.9161970545
146	0.9158831204
147	0.9155416356
148	0.9152748484
149	0.9149015852
150	0.9145963042
151	0.9142842883
152	0.9139858345
153	0.9136497177
154	0.9133130192
155	0.9129602831
156	0.9127440763
157	0.9124828824
158	0.9119850869
159	0.9116377203
160	0.911292911
161	0.9111074397
162	0.9108894551
163	0.9105981032
164	0.9102183882
165	0.9098971758
166	0.9095967644
167	0.9093011803
168	0.9091032352
169	0.908956832
170	0.9087141915
171	0.9083204431
172	0.9080394562
173	0.9078047519
174	0.9075122444
175	0.9073061619
176	0.9069967731
177	0.9066730118
178	0.9064642439
179	0.9062713188
180	0.9059453272
181	0.90579907
182	0.9056117627
183	0.9051859765
184	0.9048599879
185	0.9045138658
186	0.9043437763
187	0.9039994636
188	0.9037820534
189	0.9033163309
190	0.9030301472
191	0.9025961515
192	0.902145922
193	0.901992517
194	0.9018362101
195	0.9016349658
196	0.9014005039
197	0.9011452572
198	0.9007653869
199	0.9003408488
200	0.9001801294
201	0.8999384276
202	0.8997373806
203	0.899567584
204	0.8992959419
205	0.898935391
206	0.8985192742
207	0.898160965
208	0.8978837802
209	0.8976161641
210	0.8973241256
211	0.8970554608
212	0.8967433228
213	0.8962989837
214	0.8961154405
215	0.8959095317
216	0.895646806
217	0.8953419227
218	0.8951354589
219	0.8949271461
220	0.8945847198
221	0.8942226989
222	0.8938979817
223	0.8937099905
224	0.8933737035
225	0.8931619353
226	0.8929935487
227	0.892710744
228	0.8925275996
229	0.8922079463
230	0.891964909
231	0.8917134064
232	0.8913247884
233	0.8909607731
234	0.8908061624
235	0.8905241309
236	0.8902504269
237	0.8900533762
238	0.8897410909
239	0.8894700148
240	0.8891705622
241	0.8889660311
242	0.8887130533
243	0.8884441498
244	0.8882011483
245	0.8879160314
246	0.8877472525
247	0.8874880893
248	0.8871765621
249	0.8869421135
250	0.8866732591
251	0.8863983523
252	0.8861952362
253	0.8858889816
254	0.885692389
255	0.8853927628
256	0.8852969084
257	0.8850591864
258	0.8847804791
259	0.8844516606
260	0.8841768517
261	0.8839000795
262	0.8836320612
263	0.8833524334
264	0.8832334052
265	0.8829888089
266	0.8827372872
267	0.8823651825
268	0.8820350304
269	0.8818461972
270	0.8816341013
271	0.8813755512
272	0.8812060764
273	0.8810168494
274	0.8808156453
275	0.8806158004
276	0.8804839671
277	0.880224222
278	0.8797979389
279	0.8794499669
280	0.8791655311
281	0.8789145514
282	0.8785314251
283	0.8783762689
284	0.8781698026
285	0.8778881298
286	0.8776770139
287	0.8774853447
288	0.8773616992
289	0.8771219213
290	0.8767920159
291	0.8766399185
292	0.8763931721
293	0.8759841213
294	0.875733077
295	0.8755014454
296	0.8753458904
297	0.875113315
298	0.8747704865
299	0.8745139697
300	0.8743293551
301	0.8741064125
302	0.8738073598
303	0.8734854069
304	0.8733166111
305	0.8730012179
306	0.872697872
307	0.8723065265
308	0.8721224803
309	0.8718447274
310	0.8715936539
311	0.8714530691
312	0.871235625
313	0.8710632834
314	0.8708687619
315	0.8706150485
316	0.8703740567
317	0.8701135518
318	0.8699746411
319	0.8698002025
320	0.8694754831
321	0.8691949249
322	0.8689504557
323	0.8686810648
324	0.8684149982
325	0.8682207953
326	0.8678911052
327	0.8675203346
328	0.8672777666
329	0.8670781101
330	0.8667948025
331	0.8666067456
332	0.8663717686
333	0.866106979
334	0.8658925004
335	0.8656870721
336	0.8652981731
337	0.865096616
338	0.8648078736
339	0.8645854829
340	0.8642999966
341	0.864046712
342	0.8638294426
343	0.8636173664
344	0.8632608143
345	0.8627944715
346	0.8625447068
347	0.8622855387
348	0.8620289064
349	0.8617628767
